intent_hash,action_hash,tool_id,payload_size,is_high_risk,is_forbidden,harmful_signal,injection_signal,label
0.82,0.498,0.3,0.056,0,0,0,0,1
0.06,0.174,0.0,0.14,0,0,0,0,1
0.91,0.221,0.0,0.14,0,0,0,0,1
0.383,0.529,0.2,0.056,0,0,0,0,1
0.065,0.11,0.6,0.056,0,0,0,0,1
0.909,0.11,0.6,0.056,0,0,0,0,1
0.346,0.529,0.2,0.056,0,0,0,0,1
0.589,0.417,0.0,0.136,0,0,0,0,0
0.478,0.498,0.3,0.056,0,0,0,0,1
0.634,0.529,0.2,0.056,0,0,0,0,1
0.685,0.11,0.6,0.056,0,0,0,0,1
0.054,0.742,0.0,0.14,0,0,0,0,1
0.452,0.11,0.6,0.056,0,0,0,0,1
0.096,0.11,0.6,0.056,0,0,0,0,1
0.519,0.498,0.3,0.056,0,0,0,0,1
0.044,0.582,0.0,0.14,0,0,0,0,1
0.925,0.529,0.2,0.056,0,0,0,0,1
0.065,0.275,0.0,0.136,0,0,0,0,1
0.19,0.11,0.6,0.056,0,0,0,0,1
0.788,0.11,0.6,0.056,0,0,0,0,1
0.178,0.529,0.2,0.056,0,0,0,0,1
0.98,0.808,0.0,0.14,0,0,0,0,1
0.847,0.756,0.0,0.138,0,0,0,0,1
0.291,0.151,0.0,0.14,0,0,0,0,1
0.646,0.498,0.3,0.056,0,0,0,0,1
0.617,0.63,0.0,0.14,0,0,0,0,1
0.548,0.11,0.6,0.056,0,0,0,0,1
0.939,0.11,0.6,0.056,0,0,0,0,1
0.738,0.917,0.0,0.138,0,0,0,0,1
0.051,0.11,0.6,0.056,0,0,0,0,1
0.888,0.529,0.2,0.056,0,0,0,0,1
0.749,0.529,0.2,0.056,0,0,0,0,1
0.043,0.529,0.2,0.056,0,0,0,0,1
0.869,0.11,0.6,0.056,0,0,0,0,1
0.701,0.529,0.2,0.056,0,0,0,0,1
0.591,0.498,0.3,0.056,0,0,0,0,1
0.535,0.498,0.3,0.056,0,0,0,0,1
0.439,0.334,0.0,0.14,0,0,0,0,1
0.041,0.168,0.0,0.14,0,0,0,0,1
0.089,0.529,0.2,0.056,0,0,0,0,1
0.87,0.498,0.3,0.056,0,0,0,0,1
0.006,0.529,0.2,0.056,0,0,0,0,1
0.378,0.11,0.6,0.056,0,0,0,0,1
0.708,0.11,0.6,0.056,0,0,0,0,1
0.307,0.498,0.3,0.056,0,0,0,0,1
0.242,0.734,0.0,0.14,0,0,0,0,1
0.877,0.361,0.0,0.14,0,0,0,0,1
0.653,0.529,0.2,0.056,0,0,0,0,1
0.596,0.596,0.0,0.14,0,0,0,0,1
0.51,0.11,0.6,0.056,0,0,0,0,1
0.648,0.109,0.0,0.14,0,0,0,0,1
0.562,0.11,0.6,0.056,0,0,0,0,1
0.265,0.529,0.2,0.056,0,0,0,0,1
0.528,0.498,0.3,0.056,0,0,0,0,1
0.367,0.11,0.6,0.056,0,0,0,0,1
0.235,0.11,0.6,0.056,0,0,0,0,1
0.447,0.529,0.2,0.056,0,0,0,0,1
0.461,0.401,0.0,0.138,0,0,0,0,1
0.78,0.11,0.6,0.056,0,0,0,0,1
0.286,0.529,0.2,0.056,0,0,0,0,1
0.338,0.498,0.3,0.056,0,0,0,0,1
0.517,0.529,0.2,0.056,0,0,0,0,1
0.45,0.11,0.6,0.056,0,0,0,0,1
0.324,0.498,0.3,0.056,0,0,0,0,1
0.279,0.022,0.0,0.138,0,0,0,0,1
0.167,0.529,0.2,0.056,0,0,0,0,1
0.187,0.467,0.0,0.14,0,0,0,0,1
0.068,0.529,0.2,0.056,0,0,0,0,1
0.986,0.498,0.3,0.056,0,0,0,0,1
0.968,0.529,0.2,0.056,0,0,0,0,1
0.144,0.11,0.6,0.056,0,0,0,0,1
0.529,0.11,0.6,0.056,0,0,0,0,1
0.165,0.498,0.3,0.056,0,0,0,0,1
0.604,0.529,0.2,0.056,0,0,0,0,1
0.82,0.11,0.6,0.056,0,0,0,0,1
0.182,0.498,0.3,0.056,0,0,0,0,1
0.034,0.498,0.3,0.056,0,0,0,0,1
0.045,0.529,0.2,0.056,0,0,0,0,1
0.909,0.498,0.3,0.056,0,0,0,0,1
0.802,0.811,0.0,0.14,0,0,0,0,1
0.218,0.11,0.6,0.056,0,0,0,0,1
0.293,0.11,0.6,0.056,0,0,0,0,1
0.169,0.261,0.0,0.14,0,0,0,0,1
0.898,0.529,0.2,0.056,0,0,0,0,1
0.354,0.498,0.3,0.056,0,0,0,0,1
0.166,0.11,0.6,0.056,0,0,0,0,1
0.395,0.498,0.3,0.056,0,0,0,0,0
0.039,0.787,0.0,0.138,0,0,0,0,1
0.651,0.588,0.0,0.138,0,0,0,0,1
0.697,0.498,0.3,0.056,0,0,0,0,1
0.03,0.11,0.6,0.056,0,0,0,0,1
0.921,0.009,0.0,0.14,0,0,0,0,0
0.159,0.11,0.6,0.056,0,0,0,0,1
0.02,0.11,0.6,0.056,0,0,0,0,1
0.184,0.529,0.2,0.056,0,0,0,0,1
0.825,0.105,0.0,0.142,0,0,0,0,1
0.623,0.498,0.3,0.056,0,0,0,0,1
0.476,0.529,0.2,0.056,0,0,0,0,1
0.779,0.529,0.2,0.056,0,0,0,0,1
0.026,0.498,0.3,0.056,0,0,0,0,1
0.092,0.436,0.0,0.14,0,0,0,0,1
0.182,0.529,0.2,0.056,0,0,0,0,1
0.829,0.213,0.0,0.138,0,0,0,0,1
0.959,0.11,0.6,0.056,0,0,0,0,1
0.097,0.11,0.6,0.056,0,0,0,0,1
0.043,0.11,0.6,0.056,0,0,0,0,1
0.929,0.529,0.2,0.056,0,0,0,0,1
0.496,0.11,0.6,0.056,0,0,0,0,1
0.41,0.4,0.0,0.14,0,0,0,0,1
0.16,0.498,0.3,0.056,0,0,0,0,1
0.462,0.529,0.2,0.056,0,0,0,0,1
0.286,0.11,0.6,0.056,0,0,0,0,1
0.072,0.781,0.0,0.138,0,0,0,0,1
0.687,0.11,0.6,0.056,0,0,0,0,1
0.278,0.448,0.0,0.136,0,0,0,0,1
0.094,0.11,0.6,0.056,0,0,0,0,1
0.159,0.11,0.6,0.056,0,0,0,0,1
0.237,0.709,0.0,0.138,0,0,0,0,1
0.979,0.182,0.0,0.14,0,0,0,0,1
0.971,0.529,0.2,0.056,0,0,0,0,1
0.321,0.537,0.0,0.14,0,0,0,0,1
0.439,0.11,0.6,0.056,0,0,0,0,1
0.385,0.292,0.0,0.14,0,0,0,0,1
0.918,0.592,0.0,0.14,0,0,0,0,1
0.043,0.529,0.2,0.056,0,0,0,0,1
0.101,0.428,0.0,0.14,0,0,0,0,1
0.28,0.498,0.3,0.056,0,0,0,0,1
0.436,0.529,0.2,0.056,0,0,0,0,1
0.525,0.11,0.6,0.056,0,0,0,0,1
0.853,0.498,0.3,0.056,0,0,0,0,1
0.685,0.867,0.0,0.14,0,0,0,0,1
0.266,0.81,0.0,0.14,0,0,0,0,1
0.366,0.11,0.6,0.056,0,0,0,0,1
0.249,0.529,0.2,0.056,0,0,0,0,1
0.015,0.442,0.0,0.138,0,0,0,0,1
0.469,0.498,0.3,0.056,0,0,0,0,1
0.735,0.736,0.0,0.14,0,0,0,0,1
0.543,0.461,0.0,0.14,0,0,0,0,1
0.671,0.498,0.3,0.056,0,0,0,0,1
0.522,0.529,0.2,0.056,0,0,0,0,1
0.715,0.498,0.3,0.056,0,0,0,0,1
0.194,0.529,0.2,0.056,0,0,0,0,1
0.329,0.11,0.6,0.056,0,0,0,0,1
0.378,0.102,0.0,0.138,0,0,0,0,1
0.388,0.599,0.0,0.14,0,0,0,0,1
0.916,0.649,0.0,0.14,0,0,0,0,1
0.144,0.529,0.2,0.056,0,0,0,0,1
0.902,0.11,0.6,0.056,0,0,0,0,1
0.455,0.11,0.6,0.056,0,0,0,0,1
0.162,0.157,0.0,0.138,0,0,0,0,1
0.849,0.529,0.2,0.056,0,0,0,0,1
0.419,0.498,0.3,0.056,0,0,0,0,1
0.373,0.498,0.3,0.056,0,0,0,0,1
0.791,0.11,0.6,0.056,0,0,0,0,1
0.77,0.529,0.2,0.056,0,0,0,0,1
0.273,0.498,0.3,0.056,0,0,0,0,1
0.06,0.498,0.3,0.056,0,0,0,0,1
0.621,0.152,0.0,0.14,0,0,0,0,1
0.966,0.498,0.3,0.056,0,0,0,0,1
0.256,0.498,0.3,0.056,0,0,0,0,1
0.542,0.498,0.3,0.056,0,0,0,0,1
0.737,0.11,0.6,0.056,0,0,0,0,1
0.092,0.498,0.3,0.056,0,0,0,0,1
0.653,0.529,0.2,0.056,0,0,0,0,1
0.182,0.529,0.2,0.056,0,0,0,0,1
0.039,0.498,0.3,0.056,0,0,0,0,1
0.862,0.637,0.0,0.138,0,0,0,0,1
0.956,0.498,0.3,0.056,0,0,0,0,1
0.647,0.498,0.3,0.056,0,0,0,0,1
0.638,0.529,0.2,0.056,0,0,0,0,1
0.882,0.498,0.3,0.056,0,0,0,0,1
0.127,0.498,0.3,0.056,0,0,0,0,1
0.517,0.498,0.3,0.056,0,0,0,0,1
0.629,0.11,0.6,0.056,0,0,0,0,1
0.06,0.11,0.6,0.056,0,0,0,0,1
0.372,0.529,0.2,0.056,0,0,0,0,1
0.175,0.529,0.2,0.056,0,0,0,0,1
0.003,0.802,0.0,0.138,0,0,0,0,1
0.904,0.498,0.3,0.056,0,0,0,0,1
0.48,0.498,0.3,0.056,0,0,0,0,1
0.609,0.367,0.0,0.14,0,0,0,0,0
0.467,0.529,0.2,0.056,0,0,0,0,1
0.368,0.529,0.2,0.056,0,0,0,0,1
0.049,0.498,0.3,0.056,0,0,0,0,1
0.617,0.11,0.6,0.056,0,0,0,0,1
0.869,0.229,0.0,0.14,0,0,0,0,1
0.359,0.012,0.0,0.14,0,0,0,0,1
0.167,0.11,0.6,0.056,0,0,0,0,1
0.496,0.498,0.3,0.056,0,0,0,0,1
0.927,0.11,0.6,0.056,0,0,0,0,1
0.786,0.498,0.3,0.056,0,0,0,0,1
0.992,0.498,0.3,0.056,0,0,0,0,1
0.596,0.11,0.6,0.056,0,0,0,0,1
0.115,0.11,0.6,0.056,0,0,0,0,1
0.324,0.23,0.0,0.138,0,0,0,0,1
0.81,0.529,0.2,0.056,0,0,0,0,1
0.519,0.498,0.3,0.056,0,0,0,0,1
0.126,0.529,0.2,0.056,0,0,0,0,1
0.48,0.11,0.6,0.056,0,0,0,0,1
0.304,0.229,0.0,0.14,0,0,0,0,1
0.882,0.498,0.3,0.056,0,0,0,0,1
0.461,0.88,0.0,0.14,0,0,0,0,1
0.879,0.11,0.6,0.056,0,0,0,0,1
0.911,0.11,0.6,0.056,0,0,0,0,1
0.879,0.11,0.6,0.056,0,0,0,0,1
0.059,0.529,0.2,0.056,0,0,0,0,1
0.168,0.529,0.2,0.056,0,0,0,0,1
0.239,0.498,0.3,0.056,0,0,0,0,1
0.927,0.529,0.2,0.056,0,0,0,0,1
0.844,0.11,0.6,0.056,0,0,0,0,1
0.522,0.11,0.6,0.056,0,0,0,0,1
0.159,0.619,0.0,0.14,0,0,0,0,1
0.538,0.498,0.3,0.056,0,0,0,0,1
0.975,0.11,0.6,0.056,0,0,0,0,1
0.058,0.859,0.0,0.14,0,0,0,0,1
0.79,0.503,0.0,0.14,0,0,0,0,1
0.593,0.529,0.2,0.056,0,0,0,0,0
0.206,0.021,0.0,0.14,0,0,0,0,0
0.315,0.11,0.6,0.056,0,0,0,0,1
0.178,0.093,0.0,0.138,0,0,0,0,0
0.344,0.171,0.0,0.14,0,0,0,0,1
0.509,0.498,0.3,0.056,0,0,0,0,1
0.265,0.11,0.6,0.056,0,0,0,0,1
0.001,0.529,0.2,0.056,0,0,0,0,1
0.29,0.524,0.0,0.14,0,0,0,0,1
0.809,0.885,0.0,0.14,0,0,0,0,0
0.0,0.498,0.3,0.056,0,0,0,0,1
0.37,0.498,0.3,0.056,0,0,0,0,1
0.89,0.11,0.6,0.056,0,0,0,0,1
0.401,0.403,0.0,0.14,0,0,0,0,0
0.006,0.197,0.0,0.138,0,0,0,0,1
0.241,0.529,0.2,0.056,0,0,0,0,1
0.921,0.498,0.3,0.056,0,0,0,0,1
0.11,0.529,0.2,0.056,0,0,0,0,0
0.039,0.563,0.0,0.14,0,0,0,0,1
0.826,0.529,0.2,0.056,0,0,0,0,1
0.599,0.498,0.3,0.056,0,0,0,0,1
0.359,0.95,0.0,0.138,0,0,0,0,1
0.932,0.529,0.2,0.056,0,0,0,0,0
0.663,0.498,0.3,0.056,0,0,0,0,0
0.099,0.498,0.3,0.056,0,0,0,0,1
0.063,0.102,0.0,0.14,0,0,0,0,1
0.946,0.529,0.2,0.056,0,0,0,0,1
0.282,0.498,0.3,0.056,0,0,0,0,1
0.027,0.11,0.6,0.056,0,0,0,0,1
0.133,0.498,0.3,0.056,0,0,0,0,1
0.196,0.042,0.0,0.14,0,0,0,0,1
0.744,0.11,0.6,0.056,0,0,0,0,1
0.699,0.498,0.3,0.056,0,0,0,0,1
0.043,0.498,0.3,0.056,0,0,0,0,1
0.78,0.529,0.2,0.056,0,0,0,0,1
0.46,0.653,0.0,0.14,0,0,0,0,1
0.548,0.11,0.6,0.056,0,0,0,0,0
0.282,0.49,0.0,0.14,0,0,0,0,0
0.373,0.529,0.2,0.056,0,0,0,0,1
0.161,0.11,0.6,0.056,0,0,0,0,1
0.227,0.498,0.3,0.056,0,0,0,0,1
0.619,0.498,0.3,0.056,0,0,0,0,1
0.413,0.529,0.2,0.056,0,0,0,0,1
0.224,0.11,0.6,0.056,0,0,0,0,1
0.787,0.02,0.0,0.14,0,0,0,0,1
0.611,0.529,0.2,0.056,0,0,0,0,1
0.487,0.498,0.3,0.056,0,0,0,0,1
0.725,0.529,0.2,0.056,0,0,0,0,1
0.068,0.498,0.3,0.056,0,0,0,0,0
0.769,0.498,0.3,0.056,0,0,0,0,1
0.548,0.529,0.2,0.056,0,0,0,0,1
0.38,0.273,0.0,0.14,0,0,0,0,1
0.596,0.11,0.6,0.056,0,0,0,0,1
0.97,0.529,0.2,0.056,0,0,0,0,1
0.987,0.867,0.0,0.14,0,0,0,0,1
0.982,0.498,0.3,0.056,0,0,0,0,1
0.443,0.11,0.6,0.056,0,0,0,0,1
0.448,0.529,0.2,0.056,0,0,0,0,1
0.452,0.498,0.3,0.056,0,0,0,0,1
0.478,0.11,0.6,0.056,0,0,0,0,1
0.063,0.11,0.6,0.056,0,0,0,0,1
0.478,0.498,0.3,0.056,0,0,0,0,1
0.962,0.11,0.6,0.056,0,0,0,0,1
0.725,0.681,0.0,0.14,0,0,0,0,1
0.922,0.11,0.6,0.056,0,0,0,0,1
0.126,0.11,0.6,0.056,0,0,0,0,1
0.108,0.11,0.6,0.056,0,0,0,0,1
0.619,0.11,0.6,0.056,0,0,0,0,0
0.489,0.569,0.0,0.14,0,0,0,0,1
0.725,0.498,0.3,0.056,0,0,0,0,1
0.268,0.741,0.0,0.14,0,0,0,0,1
0.452,0.11,0.6,0.056,0,0,0,0,1
0.409,0.498,0.3,0.056,0,0,0,0,1
0.85,0.11,0.6,0.056,0,0,0,0,1
0.787,0.11,0.6,0.056,0,0,0,0,1
0.403,0.529,0.2,0.056,0,0,0,0,1
0.409,0.561,0.0,0.14,0,0,0,0,1
0.935,0.11,0.6,0.056,0,0,0,0,1
0.37,0.11,0.6,0.056,0,0,0,0,1
0.944,0.181,0.0,0.14,0,0,0,0,1
0.485,0.11,0.6,0.056,0,0,0,0,1
0.788,0.847,0.0,0.14,0,0,0,0,1
0.754,0.662,0.0,0.14,0,0,0,0,1
0.802,0.529,0.2,0.056,0,0,0,0,1
0.161,0.11,0.6,0.056,0,0,0,0,1
0.695,0.579,0.0,0.14,0,0,0,0,1
0.071,0.498,0.3,0.056,0,0,0,0,1
0.577,0.11,0.6,0.056,0,0,0,0,1
0.695,0.11,0.6,0.056,0,0,0,0,1
0.744,0.529,0.2,0.056,0,0,0,0,1
0.632,0.498,0.3,0.056,0,0,0,0,1
0.116,0.11,0.6,0.056,0,0,0,0,1
0.793,0.883,0.0,0.14,0,0,0,0,1
0.307,0.529,0.2,0.056,0,0,0,0,0
0.597,0.135,0.0,0.138,0,0,0,0,1
0.423,0.714,0.0,0.14,0,0,0,0,1
0.761,0.498,0.3,0.056,0,0,0,0,1
0.073,0.498,0.3,0.056,0,0,0,0,1
0.822,0.529,0.2,0.056,0,0,0,0,1
0.239,0.498,0.3,0.056,0,0,0,0,1
0.881,0.498,0.3,0.056,0,0,0,0,0
0.92,0.498,0.3,0.056,0,0,0,0,1
0.168,0.519,0.0,0.14,0,0,0,0,1
0.945,0.11,0.6,0.056,0,0,0,0,1
0.419,0.11,0.6,0.056,0,0,0,0,1
0.807,0.175,0.0,0.14,0,0,0,0,1
0.92,0.11,0.6,0.056,0,0,0,0,0
0.551,0.963,0.0,0.138,0,0,0,0,1
0.841,0.883,0.0,0.14,0,0,0,0,1
0.286,0.498,0.3,0.056,0,0,0,0,1
0.474,0.11,0.6,0.056,0,0,0,0,1
0.934,0.11,0.6,0.056,0,0,0,0,1
0.342,0.498,0.3,0.056,0,0,0,0,1
0.809,0.875,0.0,0.14,0,0,0,0,1
0.19,0.498,0.3,0.056,0,0,0,0,1
0.63,0.718,0.0,0.14,0,0,0,0,1
0.712,0.529,0.2,0.056,0,0,0,0,1
0.574,0.498,0.3,0.056,0,0,0,0,0
0.17,0.498,0.3,0.056,0,0,0,0,1
0.722,0.529,0.2,0.056,0,0,0,0,1
0.286,0.498,0.3,0.056,0,0,0,0,1
0.454,0.529,0.2,0.056,0,0,0,0,1
0.744,0.529,0.2,0.056,0,0,0,0,1
0.71,0.529,0.2,0.056,0,0,0,0,0
0.705,0.498,0.3,0.056,0,0,0,0,1
0.507,0.399,0.0,0.14,0,0,0,0,1
0.872,0.877,0.0,0.14,0,0,0,0,1
0.319,0.498,0.3,0.056,0,0,0,0,1
0.456,0.498,0.3,0.056,0,0,0,0,1
0.872,0.529,0.2,0.056,0,0,0,0,1
0.62,0.11,0.6,0.056,0,0,0,0,1
0.358,0.11,0.6,0.056,0,0,0,0,1
0.226,0.498,0.3,0.056,0,0,0,0,1
0.59,0.322,0.0,0.14,0,0,0,0,1
0.33,0.11,0.6,0.056,0,0,0,0,1
0.707,0.11,0.6,0.056,0,0,0,0,1
0.636,0.11,0.6,0.056,0,0,0,0,1
0.138,0.529,0.2,0.056,0,0,0,0,1
0.556,0.498,0.3,0.056,0,0,0,0,0
0.452,0.529,0.2,0.056,0,0,0,0,1
0.419,0.676,0.0,0.14,0,0,0,0,1
0.299,0.529,0.2,0.056,0,0,0,0,1
0.929,0.529,0.2,0.056,0,0,0,0,1
0.809,0.178,0.0,0.138,0,0,0,0,1
0.53,0.467,0.0,0.138,0,0,0,0,1
0.027,0.714,0.0,0.14,0,0,0,0,1
0.949,0.529,0.2,0.056,0,0,0,0,1
0.974,0.11,0.6,0.056,0,0,0,0,1
0.556,0.529,0.2,0.056,0,0,0,0,1
0.983,0.11,0.6,0.056,0,0,0,0,1
0.668,0.11,0.6,0.056,0,0,0,0,1
0.162,0.11,0.6,0.056,0,0,0,0,1
0.861,0.498,0.3,0.056,0,0,0,0,1
0.726,0.11,0.6,0.056,0,0,0,0,1
0.256,0.11,0.6,0.056,0,0,0,0,1
0.998,0.498,0.3,0.056,0,0,0,0,1
0.67,0.529,0.2,0.056,0,0,0,0,1
0.687,0.529,0.2,0.056,0,0,0,0,1
0.495,0.11,0.6,0.056,0,0,0,0,1
0.435,0.92,0.0,0.14,0,0,0,0,1
0.766,0.565,0.0,0.14,0,0,0,0,1
0.498,0.643,0.0,0.138,0,0,0,0,1
0.588,0.529,0.2,0.056,0,0,0,0,1
0.186,0.23,0.0,0.138,0,0,0,0,1
0.448,0.088,0.0,0.14,0,0,0,0,1
0.212,0.856,0.0,0.14,0,0,0,0,1
0.839,0.923,0.0,0.14,0,0,0,0,1
0.783,0.348,0.0,0.14,0,0,0,0,1
0.069,0.498,0.3,0.056,0,0,0,0,1
0.98,0.529,0.2,0.056,0,0,0,0,1
0.929,0.498,0.3,0.056,0,0,0,0,1
0.032,0.498,0.3,0.056,0,0,0,0,1
0.835,0.498,0.3,0.056,0,0,0,0,1
0.375,0.498,0.3,0.056,0,0,0,0,1
0.808,0.023,0.0,0.14,0,0,0,0,1
